ORLANDO TERM,Possible URI,Possible URI #2
LEGENDFOLKTALE,https://id.linscproject.ca/vocabularies/genre#legendFolktale,
LESBIAN,https://id.linscproject.ca/vocabularies/genre#lesbian,
LETTER,https://id.linscproject.ca/vocabularies/genre#letter,
LETTERSFROMTHEDEADTOTHELIVING,https://id.linscproject.ca/vocabularies/genre#lettersFromTheDeadToTheLiving,
LIBRETTO,https://id.linscproject.ca/vocabularies/genre#libretto,
LITERARYCRITICISM,https://id.linscproject.ca/vocabularies/genre#literaryCriticism,
LITURGY,https://id.linscproject.ca/vocabularies/genre#liturgy,
LOVE,https://id.linscproject.ca/vocabularies/genre#love,
LYRIC,https://id.linscproject.ca/vocabularies/genre#lyric,
MAGICREALIST,https://id.linscproject.ca/vocabularies/genre#magicRealist,
MANIFESTO,https://id.linscproject.ca/vocabularies/genre#manifesto,
MANUAL,https://id.linscproject.ca/vocabularies/genre#manual,
MAP,https://id.linscproject.ca/vocabularies/genre#map,
MASQUE,https://id.linscproject.ca/vocabularies/genre#masque,
MEDICALWRITING,https://id.linscproject.ca/vocabularies/genre#medicalWriting,
MELODRAMA,https://id.linscproject.ca/vocabularies/genre#melodrama,
MIXEDMEDIA,https://id.linscproject.ca/vocabularies/genre#multimedia,
MOCKFORMS,https://id.linscproject.ca/vocabularies/genre#mockForms,
MONOLOGUE,https://id.linscproject.ca/vocabularies/genre#monologue,
MORALITYMYSTERYPLAY,https://id.linscproject.ca/vocabularies/genre#moralityOrMysteryPlay,
MULTIMEDIA,https://id.linscproject.ca/vocabularies/genre#multimedia,
MUSICOLOGY,https://id.linscproject.ca/vocabularies/genre#musicology,
MYSTERY,https://id.linscproject.ca/vocabularies/genre#mystery,
MYTH,https://id.linscproject.ca/vocabularies/genre#myth,
NARRATIVEPOETRY,https://id.linscproject.ca/vocabularies/genre#narrativePoetry,
NATIONALISTFICTION,https://id.linscproject.ca/vocabularies/genre#nationalist,https://id.linscproject.ca/vocabularies/genre#fiction
NATIONALTALE,https://id.linscproject.ca/vocabularies/genre#nationalTale,
NOTEBOOK,https://id.linscproject.ca/vocabularies/genre#notebook,
NOVEL,https://id.linscproject.ca/vocabularies/genre#novel,
NOVELLA,https://id.linscproject.ca/vocabularies/genre#novella,
NURSERYRHYME,https://id.linscproject.ca/vocabularies/genre#nurseryRhyme,
OBITUARY,https://id.linscproject.ca/vocabularies/genre#obituary,
OCCASIONALPOETRY,https://id.linscproject.ca/vocabularies/genre#occasionalPoetry,
ODE,https://id.linscproject.ca/vocabularies/genre#ode,
ONEACTPLAY,https://id.linscproject.ca/vocabularies/genre#oneActPlay,
OPERA,https://id.linscproject.ca/vocabularies/genre#opera,
ORATORIO,https://id.linscproject.ca/vocabularies/genre#oratorio,
ORIENTAL,https://id.linscproject.ca/vocabularies/genre#orientalist,
PAGEANT,https://id.linscproject.ca/vocabularies/genre#pageant,
PANEGYRIC,https://id.linscproject.ca/vocabularies/genre#panegyric,
PANTOMIME,https://id.linscproject.ca/vocabularies/genre#pantomime,
PARABLE,https://id.linscproject.ca/vocabularies/genre#parable,
PARATEXTS,https://id.linscproject.ca/vocabularies/genre#paratext,
PARLIAMENTARYREPORT,https://id.linscproject.ca/vocabularies/genre#governmentReport,
PARODY,https://id.linscproject.ca/vocabularies/genre#parody,
PASTORAL,https://id.linscproject.ca/vocabularies/genre#pastoral,
PEDAGOGY,https://id.linscproject.ca/vocabularies/genre#pedagogy,
PERFORMANCEPOETRY,https://id.linscproject.ca/vocabularies/genre#performancePoetry,
PERIODICAL,https://id.linscproject.ca/vocabularies/genre#SerialForm,
PETITION,https://id.linscproject.ca/vocabularies/genre#petition,
PHILOSOPHICAL,https://id.linscproject.ca/vocabularies/genre#philosophical,
PHILOSOPHY,https://id.linscproject.ca/vocabularies/genre#philosophy,
PICARESQUE,https://id.linscproject.ca/vocabularies/genre#picaresque,
PINDARIC,https://id.linscproject.ca/vocabularies/genre#pindaric,
POETRY,https://id.linscproject.ca/vocabularies/genre#poetry,
POLEMIC,https://id.linscproject.ca/vocabularies/genre#polemic,
POLITICALWRITING,https://id.linscproject.ca/vocabularies/genre#politicalWriting,
POPULAR,https://id.linscproject.ca/vocabularies/genre#popular,
PRAYER,https://id.linscproject.ca/vocabularies/genre#prayer,
PREFATORYPIECE,https://id.linscproject.ca/vocabularies/genre#prefatoryPiece,
PROGRAMNOTES,https://id.linscproject.ca/vocabularies/genre#programNotes,
PROLETARIANWRITING,https://id.linscproject.ca/vocabularies/genre#proletarianWriting,
PROLOGUE,https://id.linscproject.ca/vocabularies/genre#prologue,
PROPAGANDA,https://id.linscproject.ca/vocabularies/genre#propaganda,
PROPHECY,https://id.linscproject.ca/vocabularies/genre#prophecy,
PSALM,https://id.linscproject.ca/vocabularies/genre#psalm,
PSYCHOANALYTICAL,https://id.linscproject.ca/vocabularies/genre#psychoanalytical,
QUIZ,https://id.linscproject.ca/vocabularies/genre#quiz,
RADIODRAMA,https://id.linscproject.ca/vocabularies/genre#radioDrama,
REALIST,https://id.linscproject.ca/vocabularies/genre#realist,
REGIONAL,https://id.linscproject.ca/vocabularies/genre#regional,
RELIGIOUS,https://id.linscproject.ca/vocabularies/genre#religious,
REVIEW,https://id.linscproject.ca/vocabularies/genre#review,
REVUE,https://id.linscproject.ca/vocabularies/genre#revue,
RIDDLE,https://id.linscproject.ca/vocabularies/genre#riddle,
ROMANCE,https://id.linscproject.ca/vocabularies/genre#romance,
SAGEWRITING,https://id.linscproject.ca/vocabularies/genre#sageWriting,
SATIRE,https://id.linscproject.ca/vocabularies/genre#satire,
SCHOLARSHIP,https://id.linscproject.ca/vocabularies/genre#ScholarlyGenre,
SCHOOLFICTION,https://id.linscproject.ca/vocabularies/genre#schoolFiction,
SCIENCEFICTION,https://id.linscproject.ca/vocabularies/genre#scienceFiction,
SCIENTIFICWRITING,https://id.linscproject.ca/vocabularies/genre#scientificWriting,
SCRAPBOOK,https://id.linscproject.ca/vocabularies/genre#scrapbook,
SENSATIONNOVEL,https://id.linscproject.ca/vocabularies/genre#sensationNovel,
SENSIBILITY,https://id.linscproject.ca/vocabularies/genre#novelOfSensibility,
SENTIMENTAL,https://id.linscproject.ca/vocabularies/genre#sentimental,
SEQUEL,https://id.linscproject.ca/vocabularies/genre#sequel,
SERMON,https://id.linscproject.ca/vocabularies/genre#sermon,
SEXUALAWAKENINGFICTION,https://id.linscproject.ca/vocabularies/genre#sexualAwakeningFiction,
SHORTSTORY,https://id.linscproject.ca/vocabularies/genre#shortStory,
SILVERFORKNOVEL,https://id.linscproject.ca/vocabularies/genre#silverForkNovel,
SKETCH,https://id.linscproject.ca/vocabularies/genre#sketch,
SKETCHBOOK,https://id.linscproject.ca/vocabularies/genre#sketchBook,
SLAVENARRATIVE,https://id.linscproject.ca/vocabularies/genre#slaveNarrative,
SOCIALSCIENCE,https://id.linscproject.ca/vocabularies/genre#socialScience,
SONG,https://id.linscproject.ca/vocabularies/genre#song,
SONNET,https://id.linscproject.ca/vocabularies/genre#sonnet,
SPEECH,https://id.linscproject.ca/vocabularies/genre#speech,
STAGEREVIEW,,
TESTIMONY,https://id.linscproject.ca/vocabularies/genre#testimony,
TEXTBOOK,https://id.linscproject.ca/vocabularies/genre#textbook,
THEATREOFCRUELTY,https://id.linscproject.ca/vocabularies/genre#theatreOfCruelty,
THEATREOFTHEABSURD,https://id.linscproject.ca/vocabularies/genre#theatreOfTheAbsurd,
THEOLOGY,https://id.linscproject.ca/vocabularies/genre#theology,
THESAURUS,https://id.linscproject.ca/vocabularies/genre#thesaurus,
THRILLER,https://id.linscproject.ca/vocabularies/genre#thriller,
TOPOGRAPHICALPOETRY,https://id.linscproject.ca/vocabularies/genre#topographicalPoetry,
TRACTPAMPHLET,https://id.linscproject.ca/vocabularies/genre#tractPamphlet,
TRAGEDY,https://id.linscproject.ca/vocabularies/genre#tragedy,
TRAGICOMEDY,https://id.linscproject.ca/vocabularies/genre#tragicomedy,
TRANSLATION,https://id.linscproject.ca/vocabularies/genre#translation,
TRAVELWRITING,https://id.linscproject.ca/vocabularies/genre#travel,
TREATISE,https://id.linscproject.ca/vocabularies/genre#treatise,
UTOPIA,https://id.linscproject.ca/vocabularies/genre#utopia,
VERSENOVEL,https://id.linscproject.ca/vocabularies/genre#verseNovel,
VIGNETTE,https://id.linscproject.ca/vocabularies/genre#vignette,
VILLANELLE,https://id.linscproject.ca/vocabularies/genre#villanelle,
YOUNGADULTWRITING,https://id.linscproject.ca/vocabularies/genre#youngAdultWriting,
